"add","dom","epi","class","kingdom","trait","species","SCS","divergence","weighted","method"
NA,NA,NA,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.896689376557834,0.103310623442166,0,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.236380356145028,0,0.763619643854972,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.564226816158545,0.435773183841455,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0613483495821149,0.520472461674795,0.41817918874309,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0979113283942749,0,0.902088671605725,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0168031753383395,0.888688461406026,0.0945083632556349,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.531367641571521,0.468632358428479,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0415866683852074,0.564201687199742,0.394211644415051,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.136407390520348,0,0.863592609479652,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.593145384010783,0.406854615989217,"M","plant","kernel rows per ears","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","number of lateral roots","Zea mays","NSC","within","N","PSU"
NA,NA,NA,"M","plant","leaf area","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0.0377885414768116,0.252975859092184,0.709235599431004,"M","plant","leaf length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.613036388867471,0,0.386963611132529,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.447111267696661,0.552888732303339,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0366132723112128,0.455377574370709,0.508009153318078,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.28561719890729,0.71438280109271,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.684713841984987,0,0.315286158015013,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.643904082362645,0.356095917637355,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0231480122467829,0.517067921958753,0.459784065794465,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0932999326494538,0.400633083439558,0.506066983910989,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.108246238717366,0.510654026895043,0.381099734387591,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf length (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
0.455768421908324,0.358585069005242,0.185646509086434,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","leaf width","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.56504462187179,0,0.43495537812821,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.387692065395043,0,0.612307934604957,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.7056801008713,0,0.2943198991287,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf width (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","leaf weight (g)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
0,0.441761411257484,0.558238588742516,"M","plant","leaf weight (g)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","leaf weight (g)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","leaf weight (g)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.567251461988304,0,0.432748538011696,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.485866741926158,0.514133258073842,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.668128859032301,0,0.331871140967699,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.282746537071854,0,0.717253462928146,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.118775016132353,0.593865513521445,0.287359470346201,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,1,0,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.162378314328531,0.417892322527464,0.419729363144006,"M","plant","number of leaves (main tiller)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","lower corolla lobe length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
NA,NA,NA,"M","plant","lower corolla lobe width","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"LH","plant","mean number of locules","Lycopersicon","NSC","between","Y","standard"
0.412833948175844,0,0.587166051824155,"LH","plant","mean number of locules","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean number of locules","Lycopersicon","NSC","between","Y","standard"
NA,NA,NA,"LH","plant","mean number of locules","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean number of locules","Lycopersicon","NSC","between","Y","standard"
0.457277682341084,0,0.542722317658916,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
0.452680007073384,0,0.547319992926616,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
NA,NA,NA,"LH","animal","number of males","Silene","XY","between","Y","standard"
0.27712475960078,0,0.72287524039922,"LH","plant","maternal fitness","Iris","NSC","between","Y","standard"
0,1,0,"LH","plant","days to maturity","Brassica junces","NSC","within","N","standard"
NA,NA,NA,"LH","plant","days to maturity","Brassica junces","NSC","within","N","standard"
NA,NA,NA,"LH","plant","days to maturity","Brassica junces","NSC","within","N","standard"
0,0,1,"LH","plant","days to maturity","Brassica juncea","NSC","within","N","standard"
NA,NA,NA,"M","plant","number of mesocotyl roots","Zea mays","NSC","within","N","PSU"
0.190428682531682,0,0.809571317468318,"M","plant","mesocotyl length","rice (Oryza sativa L.)","NSC","within","Y","PSU"
0,0,1,"M","plant","mesocotyl length","rice (Oryza sativa L.)","NSC","within","Y","PSU"
0.361709855804169,0,0.638290144195831,"M","plant","mesocotyl length","rice (Oryza sativa L.)","NSC","within","Y","PSU"
1,0,0,"M","plant","number of mite gals","Willow","NSC","between","Y","standard"
1,0,0,"LH","plant","number of fruits per plant","cucumber","NSC","within","N","PSU"
0.509718685854774,0,0.490281314145226,"M","plant","average internode length (cm)","cucumber","NSC","within","N","PSU"
0.566895505806929,0,0.433104494193071,"M","plant","number of primary laterals","cucumber","NSC","within","N","PSU"
1,0,0,"M","plant","number of nodes","cucumber","NSC","within","N","PSU"
0,0,1,"M","plant","main stem length (cm)","cucumber","NSC","within","N","PSU"
NA,NA,NA,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
NA,NA,NA,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
0.0144110781712132,0.474854662684508,0.510734259144279,"M","plant","nitrogen fixation component","spanish clover","NSC","within","Y","PSU"
0,0.381766103733086,0.618233896266914,"M","plant","number of flower nodes","Iris","NSC","between","Y","standard"
0.0136823055899613,0.421339745065606,0.564977949344433,"M","plant","number of nodes above ear","Zea mays","NSC","within","N","PSU"
0.263975186552347,0.146388479305073,0.58963633414258,"M","plant","number of nodes below ear","Zea mays","NSC","within","N","PSU"
0,0,1,"LH","animal","fitness at high density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
0,0.595658157819091,0.404341842180909,"LH","animal","fitness at low density of food","mosquito Wyeomyia smithii","XY","within","Y","PSU"
NA,NA,NA,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
0.310031044706028,0,0.689968955293972,"LH","animal","ovariole number","Drosophila hibisci","XY","within","Y","standard"
0,0,1,"LH","animal","ovariole number","Drosophila hibisci","XY","within","Y","standard"
0.593882101910556,0,0.406117898089444,"LH","animal","ovariole number","Drosophila hibisci","XY","within","Y","cmat"
1,0,0,"LH","plant","ovary length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
NA,NA,NA,"LH","animal","number of ovules","Silene","XY","between","Y","standard"
1,0,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
0.434642375907642,0.565357624092358,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
1,0,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
NA,NA,NA,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
1,0,0,"LH","plant","paternal fitness","Iris","NSC","between","Y","standard"
1,0,0,"LH","animal","peak fecundity","Drosophila","XY","between","Y","standard"
1,0,0,"M","plant","pedicel length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"LH","plant","number of peduncles/plant","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","number of peduncles/plant","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","number of peduncles/plant","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"M","animal","pelvic spine length","stickleback","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"LH","plant","pericarp thickness","Zea mays","NSC","within","Y","PSU"
1,0,0,"M","plant","pericarp firmness","tomato (Lycopersicon esculentum Mill.)","NSC","within","Y","PSU"
1,0,0,"M","plant","petiole length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Ft. Pierce","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Ft. Pierce","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Ft. Pierce","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Gainesville","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Gainesville","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"M","plant","photoperiod response to flowering date at Gainesville","Aeschynomene americana","NSC","within","Y","PSU"
1,0,0,"LH","plant","pistil length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"M","plant","plant height (cm)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays","NSC","within","N","PSU"
1,0,0,"M","plant","mean plant height","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","mean plant height","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","mean plant height","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.360691037543451,0.639308962456549,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.394718838844476,0.605281161155524,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.0462736480830475,0.10846433523109,0.845262016685863,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.397714262738648,0.602285737261352,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","plant height (cm)","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","mean plant height","Lycopersicon","NSC","between","Y","standard"
0.202797202797203,0.251748251748252,0.545454545454546,"M","plant","mean plant height","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","plant height (cm)","rye (Secale cereale L..)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","rye (Secale cereale L..)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","rye (Secale cereale L..)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","rye (Secale cereale L..)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","rye (Secale cereale L..)","NSC","within","N","PSU"
0.682392469981498,0,0.317607530018502,"M","plant","mean plant spread","Lycopersicon","NSC","between","Y","standard"
NA,NA,NA,"M","plant","mean plant spread","Lycopersicon","NSC","between","Y","standard"
0.202290076335878,0.431297709923664,0.366412213740458,"M","plant","mean plant spread","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","mean plant spread","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","plant","mean plant spread","Lycopersicon","NSC","between","Y","standard"
0.223002457846412,0.405084100243074,0.371913441910514,"M","animal","plate number","stickleback","XY","within","Y","standard"
0.236111111111111,0.226851851851853,0.537037037037037,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.412507695297446,0,0.587492304702554,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","between","Y","standard"
NA,NA,NA,"LH","plant","pod length","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","pod length","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","pod length","Vigna sesquipedalis","NSC","within","N","PSU"
0.294117647058823,0.352941176470588,0.352941176470588,"LH","plant","pod length","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"M","plant","pod length","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"M","plant","pod length","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"M","plant","pod length","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","number of pods/plant","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","number of pods/plant","Vigna unguiculata","NSC","within","N","PSU"
0,1,0,"LH","plant","number of pods/plant","Vigna unguiculata","NSC","within","N","PSU"
0,0,1,"LH","plant","pods per plant","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","pods per plant","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","pods per plant","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","pods per plant","Vigna sesquipedalis","NSC","within","N","PSU"
0.614358211735243,0,0.385641788264757,"LH","plant","pod weight","Vigna sesquipedalis","NSC","within","N","PSU"
0.583545530533579,0.416454469466421,0,"LH","plant","pod weight","Vigna sesquipedalis","NSC","within","N","PSU"
0.624289302416408,0.375710697583592,0,"LH","plant","pod weight","Vigna sesquipedalis","NSC","within","N","PSU"
0.50539541894378,0.49460458105622,0,"LH","plant","pod weight","Vigna sesquipedalis","NSC","within","N","PSU"
0.467946524269754,0.532053475730246,0,"LH","plant","pod yield per plant","Vigna sesquipedalis","NSC","within","N","PSU"
0.656216018659325,0,0.343783981340674,"LH","plant","pod yield per plant","Vigna sesquipedalis","NSC","within","N","PSU"
0.509450855194918,0,0.490549144805082,"LH","plant","pod yield per plant","Vigna sesquipedalis","NSC","within","N","PSU"
0.474397589409972,0,0.525602410590028,"LH","plant","pod yield per plant","Vigna sesquipedalis","NSC","within","N","PSU"
0.0305517643592435,0.459757855249243,0.509690380391513,"LH","plant","number of days from seeding to pollen shedding","Z. mays","NSC","within","Y","standard"
0,0.452904085796449,0.547095914203551,"LH","plant","proportion viable pollen","Silene","XY","between","Y","standard"
0.0324138145985678,0.420919325147263,0.546666860254169,"LH","animal","proportion of males","darter fishes","NSC","between","Y","standard"
0,0.458836456349808,0.541163543650192,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.138533430615947,0,0.861466569384053,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.259286935630368,0,0.740713064369632,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
1,0,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0.426819969360655,0.573180030639345,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
1,0,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
1,0,0,"M","plant","herbivore density","Willow","NSC","between","Y","standard"
1,0,0,"LH","animal","age of 1st reproduction","Drosophila","XY","between","Y","standard"
0.204456763110514,0.212179567195918,0.583363669693568,"M","plant","root dry weight (gm)","Zea mays","NSC","within","N","PSU"
0.422307941051807,0,0.577692058948193,"M","plant","root fresh weight (g)","spanish clover","NSC","within","Y","PSU"
0.210312788747122,0.789687211252878,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.748126614192292,0.251873385807708,0,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.375286904520463,0,0.624713095479536,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.332497070125702,0,0.667502929874298,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0,1,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0.404523639656229,0,0.595476360343771,"M","plant","plant height","Pearl millet (Pennisetum typhoides)","NSC","within","N","PSU"
0,0.444444444444444,0.555555555555556,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
NA,NA,NA,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
1,0,0,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
1,0,0,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0,0,1,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0,0,1,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
1,0,0,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0.583519483276337,0,0.416480516723663,"M","animal","length ","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0,0,1,"M","animal","width","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0,0,1,"M","animal","width","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
0.250197238157205,0.402697960841448,0.347104801001347,"M","animal","width","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
NA,NA,NA,"M","animal","width","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
NA,NA,NA,"M","animal","width","salmon Onchorhynchus kisutch","XY","within","Y","cmat"
