"","epi","class","kingdom","divergence","file","combo"
"966",0,"LH","plant","between","pistil.csv","Mimulus cuprilphilus, Mimulus guttatus-pistil length"
"967",0.659174581665361,"M","plant","within","plant.height1.csv","Datura stramonium-plant height"
"972",0.190904144751039,"M","plant","between","plantht.dj38.csv","Lycopersicon esculenium, Lycopersicon pimpinellifolium-plant height"
"975",0.247963479139296,"M","plant","between","plantht.hi25sp.csv","Zea mays, Zea diploperennis Iltis-plant height"
"1005",0.153130154507146,"M","plant","within","plantht1.csv","Secale cereale-plant height"
"1010",0.112794467502648,"M","plant","between","plantspd.dj38.csv","Lycopersicon esculenium, Lycopersicon pimpinellifolium-plant spread"
"1015",0.106408442052012,"M","animal","within","plate.num.csv","stickleback-plate number"
"1016",0.53579678360881,"M","plant","within","pltht1.csv","Solanum melongena-plant height"
"1023",0.16017130620985,"LH","plant","within","podlen.30x19.csv","Vigna sesquipedalis-pod length"
"1027",0,"M","plant","within","podlen1.csv","Vigna unguiculata-pod length"
"1030",0.5,"LH","plant","within","podnum1.csv","Vigna unguiculata-number of pods per plant"
"1033",0,"LH","plant","within","podsplant.30x19.csv","Vigna sesquipedalis-number of pods per plant"
"1037",0.447367010113588,"LH","plant","within","podwt.30x19.csv","Vigna sesquipedalis-pod weight"
"1041",0.589656158888477,"LH","plant","within","podyield.30x19.csv","Vigna sesquipedalis-pod yield per plant"
"1045",0,"M","animal","within","polichaeta-sexchg.csv","Ophryotrocha puerilis-number of chaetigerous segments at sex change"
"1046",0.497741602449263,"LH","plant","within","pollen_data.csv","Zea mays-number of days from seeding to pollen shedding"
"1047",1,"LH","plant","between","pollen.csv","Silene latifolia, Silene diclinis-proportion viable pollen"
"1049",0.798569882244891,"M","plant","between","populus1-stem.csv","Populus angustifolia, Populus fremontii-stem fractal"
"1063",1,"LH","animal","within","rabbit-bodyweight-day21.csv","Oryctolagus cuniculus domesticus-body weight day 21"
"1068",1,"LH","animal","within","rabbit-bodyweight-day56.csv","Oryctolagus cuniculus domesticus-body weight day 56"
"1069",1,"LH","animal","within","rabbit-bodyweight-day63.csv","Oryctolagus cuniculus domesticus-body weight day 63"
"1070",1,"LH","animal","within","rabbit-bodyweight-day7.csv","Oryctolagus cuniculus domesticus-body weight day 7"
"1071",1,"LH","animal","within","rabbit-bodyweight-day70.csv","Oryctolagus cuniculus domesticus-body weight day 70"
"1072",0,"LH","animal","within","rabbit-bodyweight-day77.csv","Oryctolagus cuniculus domesticus-body weight day 77"
"1073",1,"LH","animal","within","rabbit-bodyweight-day84.csv","Oryctolagus cuniculus domesticus-body weight day 84"
"1074",0.481353097205041,"M","animal","within","rat-loco.24est.csv","rat-24 hour estimate, locomotor activity"
"1075",0.413724676054752,"M","animal","within","rat-loco.48est.csv","rat-48 hour estimate, locomotor activity"
"1076",0.321356588547646,"M","animal","within","rat-loco.4est.csv","rat-4 hour estimate, locomotor activity"
"1077",0,"M","animal","within","rat-loco.acro.csv","rat-acrophase, locomotor activity"
"1078",0.372267821375612,"M","animal","within","rat-loco.amp.csv","rat-amplitude, locomotor activity"
"1079",1,"LH","animal","between","reprod.dros.csv","Drosophila madeirensis, Drosophila subobscura-age of 1st reproduction"
"1080",1,"M","plant","within","rice-branches-per-panicle.csv","Oryza sativa-branches per panicle"
"1081",0.508990867971132,"M","plant","within","rice-canopy.csv","Oryza sativa-canopy temp"
"1082",0,"M","plant","within","rice-chlorophyll.csv","Oryza sativa-chlorophyll content"
"1083",0.585411498976445,"M","plant","within","rice-flag.area.csv","Oryza sativa-flag leaf area"
"1084",0,"LH","plant","within","rice-flower.days.csv","Oryza sativa-days to 50% flowering"
"1086",0.653705640569431,"LH","plant","within","rice-grain.yield.csv","Oryza sativa-grain yield per plant"
"1087",0,"M","plant","within","rice-grain.zinc.csv","Oryza sativa-grain zinc content"
"1088",0.938990436679082,"LH","plant","within","rice-grains-per-panicle.csv","Oryza sativa-grains per panicle"
"1091",0,"LH","plant","within","rice-mature.days.csv","Oryza sativa-days to maturity"
"1092",0,"M","plant","within","rice-panicle.len.csv","Oryza sativa-panicle length"
"1093",0.790262866344493,"LH","plant","within","rice-panicles.csv","Oryza sativa-panicles per plant"
"1094",0.450432940088325,"LH","plant","within","rice-percent-grains-per-panicle.csv","Oryza sativa-percent grains per panicle"
"1095",0.314994997282482,"M","plant","within","rice-plant.height.csv","Oryza sativa-plant height"
"1096",1,"M","plant","within","rice-testwt.csv","Oryza sativa-test weight (g)"
"1097",0,"LH","plant","within","rice2-daystoflowering1.csv","Oryza sativa-days to flowering"
"1099",0.143581564389616,"M","plant","within","rice2-freshwt1.csv","Oryza sativa-fresh weight"
"1101",0.442303043070767,"LH","plant","within","rice2-grainyieldperplant1.csv","Oryza sativa-grain yield"
"1102",0,"LH","plant","within","rice2-grainyieldperplant2.csv","Oryza sativa-grain yield "
"1103",0.306935421575067,"LH","plant","within","rice2-harvestindex1.csv","Oryza sativa-harvest index"
"1105",1,"M","plant","within","rice2-lengthofpanicle1.csv","Oryza sativa-length of panicle"
"1107",1,"M","plant","within","rice2-numberoftillers1.csv","Oryza sativa-number of tillers"
"1111",0.221969072597111,"M","plant","within","rice2-rg1.csv","Oryza sativa-leaf discoloration red-green"
"1114",0,"M","plant","within","rice2-root.len2.csv","Oryza sativa-root length"
"1115",0.299999224177301,"M","plant","within","rice2-shoot.len1.csv","Oryza sativa-shoot length"
"1117",0.234280998614726,"LH","plant","within","rice2-strawyieldperplant1.csv","Oryza sativa-straw yield per plant"
"1119",1,"M","plant","within","root.drywt.csv","Zea mays-root dry weight (gm)"
"1120",1,"M","plant","within","rootwt.csv","Desmodium sandwicense-root fresh weight (g)"
"1131",0.015625,"M","animal","within","salmonL.1-16-3.csv","Onchorhynchus kisutch-body length"
"1139",0,"M","animal","within","salmonW.1-16-3.csv","Onchorhynchus kisutch-body width"
"1148",0,"M","plant","within","sec.root.csv","Zea mays-number of secondary roots"
"1150",0.467415522426255,"LH","animal","within","seed.beetle-bean-fem.csv","Acanthoscelides obtectus-longevity, reared on bean"
"1152",0.811355792823248,"LH","animal","within","seed.beetle-peas-fem.csv","Acanthoscelides obtectus-longevity, reared on chickpea"
"1155",0.339645962177829,"LH","plant","within","seed.fruit.B.csv","Campanulastrum americanum-seeds per fruit"
"1160",0.244514106583073,"LH","plant","within","seed.height.csv","Phaseolus vulgaris-seed height"
"1161",0,"LH","plant","within","seed.length.csv","Phaseolus vulgaris-seed length"
"1162",1,"LH","plant","within","seed.mf.csv","Pisum sativum-seed number"
"1165",0.214594288746737,"LH","plant","within","seed.weight.csv","Phaseolus vulgaris-seed weight"
"1166",0.359700574810397,"LH","plant","within","seed.width.csv","Phaseolus vulgaris-seed width"
"1167",0.627161080607997,"M","plant","within","seedht1.csv","Secale cereale-seedling height"
"1172",1,"LH","plant","within","seednum1.csv","Vigna unguiculata-number of seeds per pod"
"1175",0.333333333333333,"LH","plant","within","seeds.30x19.csv","Vigna sesquipedalis-seeds per pod"
"1179",0.394320068782775,"LH","plant","within","seedweight.data.csv","Lima bean-seed weight"
"1180",0.467000581425392,"LH","plant","within","seedwt.30x19.csv","Vigna sesquipedalis-seed weight"
"1184",1,"LH","plant","within","seedwt.A.csv","Campanulastrum americanum-seed weight"
"1190",0,"LH","plant","within","seedwt1.csv","Vigna unguiculata-100-seed weight"
"1193",0.686273502349381,"LH","plant","between","selfability.csv","Mimulus cuprilphilus, Mimulus guttatus-distance from stigma to anthers "
"1194",0.527052002786824,"LH","plant","within","sesame1-capsule.len1.csv   ","Sesamum indicum-capsule length"
"1199",0.5,"LH","plant","within","sesame1-mature.day2.csv    ","Sesamum indicum-days to maturity"
"1204",1,"M","plant","within","sesame1-plant.branches3.csv","Sesamum indicum-number of branches"
"1206",0,"LH","plant","within","sesame1-plant.capsules1.csv","Sesamum indicum-number of capsules"
"1212",0.5,"M","plant","within","sesame1-plant.height3.csv  ","Sesamum indicum-plant height"
"1214",0.437448337304398,"LH","plant","within","sesame1-seed.weight1.csv   ","Sesamum indicum-seed weight"
"1218",0.524050694161795,"LH","plant","within","sesame1-seed.yield1.csv    ","Sesamum indicum-yield"
"1222",1,"M","animal","within","shell.color.csv","chickens-eggshell color"
"1223",1,"M","plant","within","shootwt.dry.csv","Desmodium sandwicense-shoot dry weight (mg)"
"1224",1,"M","plant","within","shootwt.fresh.csv","Desmodium sandwicense-shoot fresh weight (mg)"
"1228",0.306676568353444,"M","animal","within","size.dros.csv","Drosophila falleni-bristle size"
"1229",0,"M","plant","between","size.plant.csv","Mimulus cuprilphilus, Mimulus guttatus-plant size"
"1230",0,"M","animal","within","skin_data.csv","human-skin reflectance"
"1231",0.634704475787042,"LH","animal","within","SO.fecundity.csv","Drosophila melanogaster-BxSO fecundity"
"1232",0,"LH","animal","within","SO.fem.starv.csv","Drosophila melanogaster-BxSO female starvation resist"
"1233",0,"LH","animal","within","SO.fem.time.csv","Drosophila melanogaster-BxSO fem develop time"
"1234",0,"M","animal","within","SO.femwt.csv","Drosophila melanogaster-BxSO female weight"
"1235",0,"LH","animal","within","SO.male.starv.csv","Drosophila melanogaster-BxSO male starvation resist"
"1236",0,"LH","animal","within","SO.male.time.csv","Drosophila melanogaster-BxSO male develop time"
"1237",0,"M","animal","within","SO.malewt.csv","Drosophila melanogaster-BxSO male weight"
"1238",0.410754932797771,"M","animal","within","soapberry-beak-intro.csv","Jadera haematoloma-beak length"
"1240",0.933481857832389,"LH","animal","within","soapberry-develop.time-intro.csv","Jadera haematoloma-development time"
"1242",0.677933617910968,"M","animal","within","soapberry-thorax-intro.csv","Jadera haematoloma-thorax width"
"1244",0,"LH","plant","within","sorghum-egg1.csv","Sorghum bicolor-eggs per plant"
"1248",0.312523420190496,"LH","plant","within","sorghum-flower-ms.csv","Sorghum bicolor-days to 50% flowering"
"1252",0.723481071959534,"LH","plant","within","sorghum-grain-ms.csv","Sorghum bicolor-grain yield"
"1254",0.212716978654468,"LH","plant","within","sorghum-harvest-ms.csv","Sorghum bicolor-harvest index"
"1257",0,"M","plant","within","sorghum-leaves2.csv","Sorghum bicolor-leaves per plant"
"1261",0,"M","plant","within","sorghum-plantht2.csv","Sorghum bicolor-plant height"
"1265",0.417022474347284,"LH","plant","within","soybean-infection-degree.csv","Glycine max-infection degree"
"1266",0,"M","plant","within","soybean-lesions-diameter.csv","Glycine max-lesion-diameter"
"1267",0.39553317352301,"M","plant","within","soybean-lesions-per-cm.csv","Glycine max-lesions per cm"
"1269",0.375389127318027,"M","plant","within","soybean-percent-lesions.csv","Glycine max-percent lesions"
"1274",0.706092621849833,"M","plant","within","space.stem.len.csv","Cucumis sativus-main stem length (cm)"
"1275",0.147809443648837,"M","plant","within","spike.culms1.csv","Triticum aestivum-number of spike bearing culms"
"1277",0.264114009914892,"M","plant","within","spikelen1.csv","Secale cereale-spike length (cm)"
"1282",0.0750810305166615,"M","plant","between","spot.num.csv","Mimulus cuprilphilus, Mimulus guttatus-number of red spots on the corolla"
"1284",0,"LH","plant","between","stamenL.csv","Mimulus cuprilphilus, Mimulus guttatus-mean stamen length"
"1285",0.0436120678468358,"M","plant","within","stemwt1.csv","Datura stramonium-stem weight"
"1290",0.394822128730836,"M","animal","within","stickleback1-bdepth-fem.csv","stickleback-body depth"
"1292",0.316481738748957,"M","animal","within","stickleback1-bshape-fem.csv","stickleback-body shape"
"1296",0.313861184996311,"M","animal","within","strider-abd.length.fem.1.csv","Aquarius remigis-abdominal length"
"1300",0.195179850279735,"M","animal","within","strider-abd.width.fem.1.csv","Aquarius remigis-abdominal width"
"1304",0.323457648272193,"M","animal","within","strider-front.femur.length.fem.1.csv","Aquarius remigis-front femur length"
"1306",0.762244670105556,"M","animal","within","strider-front.femur.length.male.1.csv","Aquarius remigis-front gemur length"
"1308",0.262841781430565,"M","animal","within","strider-front.femur.width.fem.1.csv","Aquarius remigis-front femue width"
"1310",0.428563254690087,"M","animal","within","strider-front.femur.width.male.1.csv","Aquarius remigis-front femur width"
"1312",0.477903547998052,"M","animal","within","strider-genital.length.fem.1.csv","Aquarius remigis-genital length"
"1316",0.262431356902424,"M","animal","within","strider-hind.femur.length.fem.1.csv","Aquarius remigis-hind femur length"
"1320",0.31755175044082,"M","animal","within","strider-mid.femur.length.fem.1.csv","Aquarius remigis-mid femur length"
"1324",0.220678437048299,"M","animal","within","strider-seg7.length.fem.1.csv","Aquarius remigis-segment 7 length"
"1328",0.525444536185274,"M","animal","within","strider-seg8.length.fem.1.csv","Aquarius remigis-segment 8 length"
"1332",0.221719265883765,"M","animal","within","strider-spine.width.fem.1.csv","Aquarius remigis-spine width"
"1336",0.499154127639683,"M","animal","within","strider-thorax.fem.1.csv","Aquarius remigis-thorax length"
"1340",0.486458498904779,"M","animal","within","strider-total.fem.1.csv","Aquarius remigis-total length"
"1344",0,"LH","plant","between","style.csv","Mimulus cuprilphilus, Mimulus guttatus-style length"
"1345",0.960045955116134,"LH","animal","between","surviv.csv","Drosophila madeirensis, Drosophila subobscura-survival"
"1346",0.0640824036595724,"LH","plant","between","tassel.hi25sp.csv","Zea mays, Zea diploperennis Iltis-tassel length (cm)"
"1363",0.647195271121222,"M","animal","within","thorax.len18.csv","Drosophila hibisci-thorax length"
"1366",0.480898042693209,"LH","plant","within","thous.grainwt.csv","bread wheat-grain weight"
"1367",0,"LH","plant","within","thous.seedwt.csv","Brassica juncea-seed weight"
"1368",0.0179690497506075,"M","plant","between","tiller.hi25sp.csv","Zea mays, Zea diploperennis Iltis-number of tillers per plant"
"1397",0.154830009907618,"M","plant","within","tobacco-alka1.csv","Nicotiana tabacum-total alkaloids %"
"1401",0.190993454481262,"LH","plant","within","tobacco-flower1.csv","Nicotiana tabacum-flower days"
"1405",0.340413207369592,"M","plant","within","tobacco-grade1.csv","Nicotiana tabacum-grade index"
"1409",0.124174571165532,"M","plant","within","tobacco-height1.csv","Nicotiana tabacum-plant height"
"1413",0.153846153846153,"M","plant","within","tobacco-leaves1.csv","Nicotiana tabacum-number of leaves"
"1417",0.156922388953305,"M","plant","within","tobacco-nic1.csv","Nicotiana tabacum-nicotine %"
"1421",0.372499563060319,"M","plant","within","tobacco-norn1.csv","Nicotiana tabacum-nornicotine %"
"1425",0.377596250317536,"M","plant","within","tobacco-sugar1.csv","Nicotiana tabacum-sugar %"
"1429",0.243140912512189,"LH","plant","within","tobacco-yield1.csv","Nicotiana tabacum-yield"
"1433",0,"LH","plant","within","tomato-fruit-diameter.csv","Solanum lycopersicum-fruit diameter"
"1434",0,"LH","plant","within","tomato-fruit-length.csv","Solanum lycopersicum-fruit length"
"1435",0,"LH","plant","within","tomato-fruit-number.csv","Solanum lycopersicum-fruit number"
"1436",0,"LH","plant","within","tomato-fruit-size.csv","Solanum lycopersicum-fruit size"
"1437",0.741253966608781,"LH","plant","within","tomato-fruit-weight.csv","Solanum lycopersicum-fruit weight"
"1439",0.504701265631056,"LH","animal","within","trib29ban.osa.csv","Tribolium castaneum-percent of offspring deformed"
"1462",0.0895374265869203,"LH","animal","within","trout1-activity.control.post.csv","Oncorhynchus mykiss-activity"
"1468",0.263412849335198,"LH","animal","within","trout1-condition.culture.csv","Oncorhynchus mykiss-condition factor"
"1470",0,"LH","animal","within","trout1-length.culture.csv","Oncorhynchus mykiss-growth rate length"
"1472",0.297040690706361,"LH","animal","within","trout1-mass.culture.csv","Oncorhynchus mykiss-growth rate mass"
"1474",0,"LH","animal","within","trout1-time.control.csv","Oncorhynchus mykiss-time to first feeding"
"1479",1,"M","animal","between","txh.ft.csv","Toad-foot length"
"1480",0.709602526615569,"M","animal","between","txh.hl.csv","Toad-head length"
"1481",0,"M","animal","between","txh.hw.csv","Toad-head width"
"1486",1,"M","animal","between","txh.tymp.csv","Toad-typanum diameter"
"1488",1,"M","animal","between","txw.F1.csv","Toad-finger 1 length"
"1489",1,"M","animal","between","txw.F3.csv","Toad-finger 3 length"
"1493",1,"M","animal","between","txw.orb.csv","Toad-orbit diameter"
"1494",1,"M","animal","between","txw.parl.csv","Toad-parotid gland length"
"1495",1,"M","animal","between","txw.svl.log.csv","Toad-snout-vent length"
"1499",0.75,"LH","animal","within","viability.acid2.csv","Drosophila rnelanogaster-viability with high food/propionic acid"
"1503",0.636265838486127,"LH","animal","within","viability.high1.csv","Drosophila rnelanogaster-viability with high food"
"1508",0.807320822899674,"LH","animal","within","viability.low1.csv","Drosophila rnelanogaster-viability with low food"
"1513",0,"M","plant","within","viscosity.csv","Lycopersicon esculentum-gross viscosity"
"1514",0,"M","plant","between","weight.plant.csv","Mimulus cuprilphilus, Mimulus guttatus-dry weight"
"1515",1,"LH","animal","within","wFL.ON.high.csv","mosquito Wyeomyia smithii-fitness at high density of food"
"1517",0,"M","plant","within","wheat-chloro1.csv","Triticum aestivum-chlorophyll concentration"
"1527",0.333333333333333,"M","plant","within","wheat-FLADuration1.csv","Triticum aestivum-flag-leaf duration"
"1532",0,"M","plant","within","wheat-FLAngle2.csv","Triticum aestivum-flag-leaf angle"
"1535",0.218595737379728,"M","plant","within","wheat-FLArea1.csv","Triticum aestivum-flag-leaf area"
"1540",0.742217560608881,"LH","plant","within","wheat-grains1.csv","Triticum aestivum-number of grains per spike"
"1542",0,"LH","plant","within","wheat-grainwt1.csv","Triticum aestivum-grain weight"
"1544",0.194301278310734,"LH","plant","within","wheat-grainyield1.csv","Triticum aestivum-grain yield"
"1546",0,"LH","plant","within","wheat-head.date.csv","Triticum aestivum-heading date"
"1547",0,"LH","plant","within","wheat-head1.csv","Triticum aestivum-days to heading"
"1549",1,"LH","plant","within","wheat-ker.spike.csv","Triticum aestivum-kernels per spike"
"1550",0.556728419623949,"LH","plant","within","wheat-ker.spikelet.csv","Triticum aestivum-kernels per spikelet"
"1552",0.184515559806647,"LH","plant","within","wheat-kernelwt.csv","Triticum aestivum-kernel weight"
"1553",0.37143205237048,"M","plant","within","wheat-leafarea1.csv","Triticum aestivum-flag leaf area"
"1556",0.119150487872739,"M","plant","within","wheat-leafareaA2.csv","Triticum aestivum-number of leasions"
"1571",0.63318236916502,"M","plant","within","wheat-plantht.csv","Triticum aestivum-plant height"
"1572",0.474092481612517,"M","plant","within","wheat-spikelets.csv","Triticum aestivum-spikelets per spike"
"1573",0.300948864097362,"M","plant","within","wheat-spikes1.csv","Triticum aestivum-number of spikes per plant"
"1575",0,"M","plant","within","wheat-tiller.csv","Triticum aestivum-number of tillers"
"1576",0,"M","plant","between","willow-biotol.csv","Salix eriocephala, Salix sericea-biomass tolerance"
"1577",1,"M","plant","between","willow-cuttingwt.csv","Salix eriocephala, Salix sericea-ratio of cutting weight"
"1578",1,"M","plant","between","willow-damage.csv","Salix eriocephala, Salix sericea-% damage"
"1594",0.401953751925015,"LH","plant","within","yield.late.csv","Triticum aestivum-grain yield (g/plant) for late sowing"
"1595",0,"LH","plant","within","yield.normal.csv","Triticum aestivum-grain yield (g/plant) for normal sowing"
"1596",0.863734444450646,"LH","plant","within","yield1.csv","Solanum melongena-yield per plant (kg)"
"1602",0.247727272727273,"LH","plant","within","yieldspike1.csv","Secale cereale-yield per spike (g)"
